lig,nap,raf,hyd,lhy,c345,other,E
0,134315,16852,52954,2725.92,54114,17625.8,97534.3
50008,129224,0,37584,49770,4663,3590,94283
50068,126661,0,18716.5,45586.9,5537.76,3842.93,83193
50008,94471,0,14603,32938,4412,3446,64976
50038,147401,0,33137,57906,5976,3822,100752
50044,138457,0,34062,56314,5714,4050,96002
20008,183909,0,36813,51858,5907,4461,101564
89000,111672,0,39586,53623,5860,4455,101065
50008,126509,0,33879,55698,5667,4102,93261
95008,93609,0,38435,59542,5954,4285,101610
90120,99455,0,30247,60718,5219,4011,98257
13594,175196,0,36437,61499,5472,4286,100757
0,17382,4310,11347,10356,1149,9708,16268
0,26721,2621,157,13181,1289,11278,16438
0,24594,4126,0,16015,315,10536,16450
0,14620,5014,0,10037,211,8455,11526
0,16744,362,0,11618,1095,6209,10372
0,10712,806,0,5811,1095,2503,6652
0,16087,5850,150,3374,587,15959,12037
0,21912,8514,0,16496,553,9004,16468
0,19716,10198,0,18944,1461,7762,16263
0,23963,5572,0,20855,567,11111,17305
0,79907,0,55820,89209,55420,2170,94509
0,75379,0,65564,85620,46383,1897,92013
0,77224,0,67679,90224,52014,1511,97248
0,118041,0,57365,38124,46580,1709,90008
0,179713,0,33312,36513,34595,2147,95012
0,174929,0,44792,31472,29029,1944,92511
0,204026,0,64733,6762,25384,2031,95007
0,162846,0,61870,23879,34493,1937,92501
0,118611,0,56816,54610,47058,2304,94510
0,69991,0,67789,81873,55841,1466,93008
0,83394,0,65437,82396,44221,2231,93506
0,110197,2286.42,47478.9,42229.6,195,2929,70302
0,127268,2201.15,54643.5,41043.6,279,2900,77078
0,114141,2042.3,44490.5,43090.4,269,2958,72013
0,108225,2561.16,54664.1,45448.1,310,1968,71094
0,110199,3499.01,45027.8,48340.6,315,3071,72204
0,109466,238.477,54448.5,49951,340,2882,75735
